exposure_id,user_id,campaign_id,exposure_date,offer_amount,is_holdout,redeemed,propensity_at_exposure
exp_7dd0d0bd74,u_10003,c_nfl_draft,2025-04-24,0.0,True,False,0.342
exp_a6f2894d19,u_10004,c_nfl_draft,2025-04-24,86.05,False,True,0.247
exp_c603a0cc47,u_10005,c_nfl_draft,2025-04-24,0.0,True,False,0.29
exp_d4f73d7975,u_10006,c_nfl_draft,2025-04-24,36.25,False,True,0.237
exp_def1f90093,u_10010,c_nfl_draft,2025-04-24,92.12,False,True,0.207
exp_db478dd46a,u_10014,c_nfl_draft,2025-04-24,82.93,False,True,0.156
exp_4182743019,u_10015,c_nfl_draft,2025-04-24,25.84,False,True,0.173
exp_d458785fb8,u_10019,c_nfl_draft,2025-04-24,79.24,False,True,0.302
exp_6cb4b4c10c,u_10021,c_nfl_draft,2025-04-24,65.24,False,True,0.208
exp_cd7491b9f9,u_10026,c_nfl_draft,2025-04-24,0.0,True,False,0.165
exp_a98b9111dd,u_10028,c_nfl_draft,2025-04-24,27.7,False,True,0.406
exp_e6719681a0,u_10029,c_nfl_draft,2025-04-24,67.91,False,True,0.396
exp_2f82831c84,u_10031,c_nfl_draft,2025-04-24,59.47,False,True,0.024
exp_c7db642f4d,u_10032,c_nfl_draft,2025-04-24,70.41,False,True,0.133
exp_e544d682b8,u_10037,c_nfl_draft,2025-04-24,76.61,False,True,0.157
exp_d28e7aa9e9,u_10040,c_nfl_draft,2025-04-24,39.85,False,True,0.244
exp_2130f91236,u_10041,c_nfl_draft,2025-04-24,73.85,False,True,0.351
exp_0c0fd8e194,u_10042,c_nfl_draft,2025-04-24,67.25,False,True,0.108
exp_b56eb82f26,u_10049,c_nfl_draft,2025-04-24,0.0,True,False,0.368
exp_7d43355c14,u_10056,c_nfl_draft,2025-04-24,56.87,False,True,0.08
exp_5d7aca3206,u_10057,c_nfl_draft,2025-04-24,80.26,False,True,0.174
exp_dbb0bd25b2,u_10058,c_nfl_draft,2025-04-24,0.0,True,False,0.162
exp_b5371f5f37,u_10061,c_nfl_draft,2025-04-24,79.73,False,True,0.235
exp_2ff512f642,u_10066,c_nfl_draft,2025-04-24,81.02,False,True,0.046
exp_4e96c44d6e,u_10068,c_nfl_draft,2025-04-24,62.46,False,True,0.156
exp_87ef294318,u_10071,c_nfl_draft,2025-04-24,65.16,False,True,0.192
exp_ee7b37fb2f,u_10072,c_nfl_draft,2025-04-24,89.26,False,True,0.278
exp_71c825a192,u_10077,c_nfl_draft,2025-04-24,53.21,False,True,0.264
exp_ec0802296f,u_10079,c_nfl_draft,2025-04-24,0.0,True,False,0.077
exp_ccdd77ea5f,u_10083,c_nfl_draft,2025-04-24,66.71,False,True,0.223
exp_4a926c78ee,u_10086,c_nfl_draft,2025-04-24,0.0,True,False,0.593
exp_6044fdd1db,u_10090,c_nfl_draft,2025-04-24,49.21,False,True,0.252
