user_id,registration_date,state,primary_sport,segment_label,days_since_last_bet,days_since_last_deposit,bet_freq_30d,avg_bet_size,parlay_rate,live_bet_rate,ngr_90d,promo_redemption_rate,n_promos_received_1y,avg_promo_value_received,propensity_score,lift_probability,churn_risk_30d,composite_score,optimal_offer_size
u_10000,2024-03-28,IL,NFL,casual,0,7,0.283,20.6,0.27,0.16,42.74,1.0,2,23.24,0.372,0.457,0.295,0.0848,32.93
u_10001,2024-05-24,VA,NBA,always_on,0,4,0.783,36.09,0.29,0.36,326.09,0.0,1,45.99,0.842,0.145,0.048,0.0011,54.09
u_10002,2024-03-28,MI,NHL,active_mid,0,8,0.543,31.36,0.34,0.29,226.19,0.0,1,0.0,0.531,0.358,0.171,0.0288,49.34
u_10003,2024-02-07,CO,MLB,bonus_seeker,4,1,0.391,24.02,0.56,0.08,43.02,0.0,0,0.0,0.437,0.494,0.385,0.1073,17.39
u_10004,2023-02-10,NY,NHL,dormant_high_value,4,5,0.13,15.71,0.2,0.17,80.2,1.0,3,52.3,0.148,0.789,0.366,0.2458,27.07
u_10005,2023-09-30,PA,MLB,dormant_high_value,5,10,0.272,18.97,0.23,0.2,110.9,1.0,2,68.82,0.169,0.735,0.346,0.2112,18.5
u_10006,2024-05-05,CO,MLB,dormant_high_value,3,17,0.152,17.17,0.3,0.21,77.97,0.5,2,17.2,0.212,0.743,0.408,0.2388,19.95
u_10007,2023-02-24,IN,NHL,always_on,0,50,0.772,37.72,0.23,0.43,472.53,0.0,1,0.0,0.8,0.11,0.011,0.0002,91.28
u_10008,2024-04-12,CO,NFL,active_mid,0,1,0.62,30.54,0.36,0.29,189.03,0.5,2,32.1,0.61,0.481,0.287,0.0539,37.71
u_10009,2023-04-01,IN,NBA,active_mid,1,10,0.424,25.98,0.31,0.25,66.73,0.0,1,12.4,0.592,0.378,0.318,0.049,32.04
u_10010,2023-04-27,IL,NFL,dormant_high_value,12,0,0.217,17.66,0.23,0.19,153.27,0.667,3,42.55,0.144,0.697,0.42,0.2504,23.62
